pid,ECategory,Event,ELevel
344118,sports,cricket,district
344118,hobbies,"dance, acting",school
342250,sports,batminton,district
344122,cultural,"singing, dancing, dramatics",school
344122,hobbies,"singing, dancing",school
346186,sports,,school
346186,games,,school
346186,cultural,,school
346186,hobbies,,school
346186,others,,school
342094,sports,,school
342094,games,quarterfinalists at cs:go esl india tournament.,national
342094,cultural,,school
342094,hobbies,,school
344176,sports,chess,school
344176,games,running,district
344176,hobbies,"chess,cricket",school
344066,sports,athletics,school
344066,games,football,school
344066,cultural,elementary and intermediate drawing exam,state
342196,sports,played football for school,school
342196,hobbies,playing guitar.,school
342076,games,chess,school
342076,hobbies,"swimming, drawing",school
342076,others,exploring mobile apps and other useful computer applications,school
241998,sports,cricket,school
241998,sports,cricket,school
344036,sports,three legged race,school
344036,sports,three legged race,school
346110,sports,karate,state
346110,games,football,school
342176,sports,cricket,school
346210,sports,karate,school
346210,hobbies,dance,school
346236,sports,volleyball,district
346236,cultural,"cookery, dance",school
342184,sports,"cricket, badminton, swimming, running, throwball, basketball",district
342184,hobbies,"music, coding, reading, fitness",school
241998,hobbies,sketch making,school
241998,sports,football,school
241998,sports,football ,school
344228,sports,football,school
344228,cultural,won 2 medals in world scholars cup,national
344228,others,scholarships,state
241998,cultural,elementary and intermediate certificates,state
342106,sports,basketball,district
342106,cultural,annual day,school
342106,hobbies,dance,school
342106,others,elocution,school
342106,sports,basketball,district
342106,cultural,annual day,school
342106,hobbies,dance,school
342106,others,elocution,school
342106,sports,basketball,district
342106,cultural,annual day,school
342106,hobbies,dance,school
342106,others,elocution,school
342106,sports,basketball,district
342106,cultural,annual day,school
342106,hobbies,dance,school
342106,others,elocution,school
342106,games,football,school
241998,cultural,interschool science exhibition,district
241998,hobbies,singing,school
241998,games,good at badminton cricket kabaddi ,school
241998,hobbies,"like to read, play badminton, roller skating, sketching ",school
344072,sports,cricket,school
344072,games,carrom,school
344006,sports,cricket,district
344006,games,volly ball,school
344006,cultural,"drama, music",school
344006,hobbies,"reading, watching moovies",school
342086,sports,basketball,district
342086,cultural,dramatics,school
342086,hobbies,guitar,school
342086,sports,basketball,district
342086,cultural,dramatics,school
342086,hobbies,guitar,school
342086,sports,basketball,district
342086,cultural,dramatics,school
342086,hobbies,guitar,school
342086,sports,basketball,district
342086,cultural,dramatics,school
342086,hobbies,guitar,school
342066,sports,kabaddi,school
342242,sports,cricket,district
344156,sports,"circket,kabaddi,vollyball",school
344156,hobbies,playing outdoorgame,school
322174,sports,kabaddi,school
322174,games,carrom,school
322174,cultural,"role play,dance",school
322174,hobbies,"reading inspirational books,learning new technical things",school
344174,sports,no,school
344174,games,no,school
344174,cultural,no,school
344174,hobbies,no,school
344174,others,no,school
344168,sports,cricket,school
344168,games,cricket,school
344168,cultural,drama,school
344168,hobbies,playing,school
241998,hobbies,drawing grade examinations,state
241998,hobbies,drawing grade examinations,state
241998,hobbies,drawing grade examinations,state
342224,sports,karate,district
342114,sports,basketball,school
346074,sports,short put- silver medal,school
346032,sports,football,school
241998,sports,cricket,school
241998,games,chess,school
241998,sports,cricket,school
241998,games,chess,school
342144,sports,football,district
344044,sports,cricket,school
342166,sports,silambam martialarts 3rd prize winner,national
344020,hobbies,drawing ,school
344020,others,art and craft,school
241998,games,chess,school
241998,sports,footballchess,district
241998,cultural,elocutiondrama,school
241998,hobbies,"languages like french, c  , java",school
241998,others,dance,school
241998,games,athletic,school
241998,cultural,dance,school
346018,games,chess,school
346018,games,chess,school
241998,sports,volleyball,district
346018,games,chess,school
344104,sports,basketball,district
241998,sports,foot ball,school
241998,others,intermediate grade drawing examination-grade-a,state
322172,sports,basketball cricket,school
241998,sports,foot ball,school
241998,others,intermediate drawing examination,state
241998,sports,relay,school
344012,sports,football,school
344012,hobbies,painting,district
344012,others,scout and guide,school
241998,sports,badminton player,district
241998,cultural,dance,school
241998,hobbies,playing badminton and reading books,school
241998,sports,long jump,state
241998,hobbies,swimming ,school
241998,others,electrical engineering,school
344186,sports,"hurdles, race",school
344186,hobbies,singing,state
344186,sports,"hurdles, race",school
344186,hobbies,singing,state
241998,sports,football,district
241998,others,1st rank in debate competition,school
241998,others,1st rank in debate competition1st rank in quiz competition,school
241998,others,1st in debate competition1st in quiz competition,school
241998,sports,no,school
241998,games,no,school
241998,cultural,no,school
241998,hobbies,"reading,swimming, spirituals discources",school
241998,others,no,school
241998,sports,"table tennis , carrom , footballl achievements",school
346230,sports,football,school
241998,games,chess ,school
241998,cultural,elocution ,school
241998,hobbies,cricket ,school
241998,hobbies,"dancing,drawing",school
346130,games,chess,school
346130,cultural,elocution,school
346006,sports,"cricket,football.",school
346006,hobbies,"piano,music production.",school
241998,sports,"football,karate",district
241998,sports,football,school
241998,games,badmintton,school
241998,hobbies,guitar and music,school
241998,sports,"football,karate",district
241998,sports,football,school
241998,games,athletics,school
241998,hobbies,football,school
241998,sports,football,school
241998,sports,football,school
241998,sports,football,school
326240,sports,"running,relay",district
326240,hobbies,drawing,school
241998,sports,karate,state
241998,games,running,school
241998,sports,taekwondo,district
241998,games,cricket,school
241998,hobbies,playing cricket ,district
241998,hobbies,,school
344150,sports,hockey,school
344150,hobbies,dance,school
241998,sports,badminton,school
342220,sports,karate silver medalist in local levels,school
342220,games,played kabaddi at school levels,school
342220,hobbies,"drawing,football",school
241998,sports,handball,district
241998,sports,cricket ,state
241998,hobbies,to help poor people,national
241998,games,chess,school
241998,cultural,dancing,school
241998,hobbies,singing,state
241998,others,mehendi,state
241998,sports,handball,district
241998,sports,handball,district
241998,games,chess,school
241998,cultural,dance,school
241998,hobbies,singing,district
241998,others,mehendi,district
241998,games,chess,school
241998,cultural,dance,school
241998,hobbies,singing,district
241998,others,mehendi,district
241998,games,chess,school
241998,cultural,dance,school
241998,hobbies,singing,district
241998,others,mehendi,district
241998,sports,district level qualified in boxing and swimming both,district
241998,hobbies,mixed martial arts,school
241998,sports,kho-kho,school
241998,cultural,katthak completed 6 exams,school
241998,hobbies,plays violin ,school
342126,hobbies,music,district
241998,sports,football,school
241998,sports,squash player,school
241998,cultural,tabla player,school
241998,hobbies,listening music,school
241998,sports,football,district
241998,sports,cricket,school
241998,games,no,school
241998,cultural,tabla,school
241998,hobbies,no,school
241998,others,no,school
326028,sports,soccer,school
342226,cultural,drumming ,school
241998,sports,cricket,school
241998,cultural,tabla,school
241998,sports,cricket,school
241998,cultural,tabla,school
241998,hobbies,"dancing,drawing",school
241998,sports,football,school
241998,hobbies,games ,school
324154,sports,cricket,school
324154,games,carrom,school
326046,cultural,elocutiondramamonoact,district
326046,others,dance,school
326048,cultural,singing and dance and acting,school
326048,hobbies,"playing the guitar, ukulele and drums",school
324178,hobbies,play guitar,school
241998,sports,cricket,school
324232,hobbies,drawing,school
324232,others,guitar,school
241998,sports,football,school
241998,hobbies,karate,school
241998,others,band,school
241998,others,band,school
