"pid,ECategory,Hobby,Hobby_level"
"198270,sports,football,school"
"198271,sports,football ,school"
"198272,games,8 ball pool,school"
"198273,cultural,no,school"
"198274,hobbies,playing games,school"
"198275,others,no,school"
"198276,games,cricket,school"
"198277,hobbies,reading books,school"
"198278,sports,cricket football,school"
"198279,games,chess,school"
"198280,hobbies,swimming,school"
"198281,sports,cricket football,school"
"198282,games,chess,school"
"198283,hobbies,swimming,school"
"198284,sports,football,school"
"198285,sports,karate ,school"
"198286,games,carrom,school"
"198287,hobbies,music,school"
"198288,cultural,singing,school"
"198289,sports,i got 2 medals and 3 trophy in cricket .i got 1 certificate in football tournament ,district"
"198290,games,""cricket, football, batminton "",school"
"198291,cultural,i got 1 certificate for drama series . ,school"
"198292,hobbies,i like to read books more specificly novels and thriller story . i like to play outdoor game ,school"
"198293,sports,""football, table tennis"",school"
"198294,games,football,school"
"198295,cultural,""drama, dance"",school"
"198296,hobbies,""football, swimming"",school"
"198297,sports,""football, table tennis"",school"
"198298,games,football,school"
"198299,cultural,""drama, dance"",school"
"198300,hobbies,""football, swimming"",school"
"198301,others,leadership training,school"
"198302,sports,""football, table tennis"",school"
"198303,games,football,school"
"198304,cultural,""drama, dance"",school"
"198305,hobbies,""football, swimming"",school"
"198306,others,leadership training,school"
"198307,sports,""football, table tennis"",school"
"198308,games,football,school"
"198309,cultural,""drama, dance"",school"
"198310,hobbies,""football, swimming"",school"
"198311,others,leadership training,school"
"198312,sports,""football, table tennis"",school"
"198313,games,football,school"
"198314,cultural,""drama, dance"",school"
"198315,hobbies,""football, swimming"",school"
"198316,others,leadership training,school"
"198317,sports,""football, table tennis"",school"
"198318,games,football,school"
"198319,cultural,""drama, dance"",school"
"198320,hobbies,""football, swimming"",school"
"198321,others,leadership training,school"
"198322,sports,""football, table tennis"",school"
"198323,games,football,school"
"198324,cultural,""drama, dance"",school"
"198325,hobbies,""football, swimming"",school"
"198326,others,leadership training,school"
"198327,sports,""football, table tennis"",school"
"198328,games,football,school"
"198329,cultural,""drama, dance"",school"
"198330,hobbies,""football, swimming"",school"
"198331,others,leadership training,school"
"198332,sports,""football, table tennis"",school"
"198333,games,football,school"
"198334,cultural,""drama, dance"",school"
"198335,hobbies,""football, swimming"",school"
"198336,others,leadership training,school"
"198337,sports,""football, table tennis"",school"
"198338,games,football,school"
"198339,cultural,""drama, dance"",school"
"198340,hobbies,""football, swimming"",school"
"198341,others,leadership training,school"
"198342,sports,football,school"
"198343,games,8 ball pool,school"
"198344,cultural,no,school"
"198345,hobbies,playing,school"
"198346,others,no,school"
"198347,hobbies,art,school"
"198348,sports,cricket,district"
"198349,hobbies,""dance, acting"",school"
"198350,sports,batminton,district"
"198351,cultural,""singing, dancing, dramatics"",school"
"198352,hobbies,""singing, dancing"",school"
"198353,sports,""singing, dancing"",school"
"198354,games,""singing, dancing"",school"
"198355,cultural,""singing, dancing"",school"
"198356,hobbies,""singing, dancing"",school"
"198357,others,""singing, dancing"",school"
"198358,sports,#NAME?,school"
"198359,games,quarterfinalists at cs:go esl india tournament.,national"
"198360,cultural,#NAME?,school"
"198361,hobbies,#error!,school"
"198362,sports,chess,school"
"198363,games,running,district"
"198364,hobbies,""chess,cricket"",school"
"198365,sports,athletics,school"
"198366,games,football,school"
"198367,cultural,elementary and intermediate drawing exam,state"
"198368,sports,played football for school,school"
"198369,hobbies,playing guitar.,school"
"198370,games,chess,school"
"198371,hobbies,""swimming, drawing"",school"
"198372,others,exploring mobile apps and other useful computer applications,school"
"198373,sports,cricket,school"
"198374,sports,cricket,school"
"198375,sports,three legged race,school"
"198376,sports,three legged race,school"
"198377,sports,karate,state"
"198378,games,football,school"
"198379,sports,cricket,school"
"198380,sports,karate,school"
"198381,hobbies,dance,school"
"198382,sports,volleyball,district"
"198383,cultural,""cookery, dance"",school"
"198384,sports,""cricket, badminton, swimming, running, throwball, basketball"",district"
"198385,hobbies,""music, coding, reading, fitness"",school"
"198386,hobbies,sketch making,school"
"198387,sports,football,school"
"198388,sports,football ,school"
"198389,sports,football,school"
"198390,cultural,won 2 medals in world scholars cup,national"
"198391,others,scholarships,state"
"198392,cultural,elementary and intermediate certificates,state"
"198393,sports,basketball,district"
"198394,cultural,annual day,school"
"198395,hobbies,dance,school"
"198396,others,elocution,school"
"198397,sports,basketball,district"
"198398,cultural,annual day,school"
"198399,hobbies,dance,school"
"198400,others,elocution,school"
"198401,sports,basketball,district"
"198402,cultural,annual day,school"
"198403,hobbies,dance,school"
"198404,others,elocution,school"
"198405,sports,basketball,district"
"198406,cultural,annual day,school"
"198407,hobbies,dance,school"
"198408,others,elocution,school"
"198409,games,football,school"
"198410,cultural,interschool science exhibition,district"
"198411,hobbies,singing,school"
"198412,games,good at badminton cricket kabaddi ,school"
"198413,hobbies,""like to read, play badminton, roller skating, sketching "",school"
"198414,sports,cricket,school"
"198415,games,carrom,school"
"198416,sports,cricket,district"
"198417,games,volly ball,school"
"198418,cultural,""drama, music"",school"
"198419,hobbies,""reading, watching moovies"",school"
"198420,sports,basketball,district"
"198421,cultural,dramatics,school"
"198422,hobbies,guitar,school"
"198423,sports,basketball,district"
"198424,cultural,dramatics,school"
"198425,hobbies,guitar,school"
"198426,sports,basketball,district"
"198427,cultural,dramatics,school"
"198428,hobbies,guitar,school"
"198429,sports,basketball,district"
"198430,cultural,dramatics,school"
"198431,hobbies,guitar,school"
"198432,sports,kabaddi,school"
"198433,sports,cricket,district"
"198434,sports,""circket,kabaddi,vollyball"",school"
"198435,hobbies,playing outdoorgame,school"
"198436,sports,kabaddi,school"
