"pid,ssc,hsc,cet,diploma"
"198168,83,79.7,78.1,73"
"198169,86.4,62.4,82.9,73"
"198170,91.8,81.8,92.7,73"
"198171,89.2,90.3,94.4,73"
"198172,83.8,69,75.6,73"
"198173,90,75.7,85.1,73"
"198174,87.4,71.3,77.1,73"
"198175,74,0,77.1,88.3"
"198176,83.2,0,77.1,88.5"
"198177,81.2,0,77.1,85.1"
"198178,77,0,77.1,86.3"
"198179,64.4,0,77.1,85.7"
"198180,79.2,0,77.1,87.4"
"198181,78.6,0,77.1,80.9"
"198182,93.8,0,77.1,90.5"
"198183,71.4,0,77.1,85.8"
"198184,91.1,0,77.1,89.5"
"198185,92,0,77.1,90.5"
"198186,89.4,0,77.1,90"
"198187,91.6,71.2,90.5,90"
"198188,86.1,82.4,80,90"
"198189,94.4,81.3,49.5,90"
"198190,88.7,70.5,81,90"
"198191,87.2,74.6,92.6,90"
"198192,91.6,68.1,93.8,90"
"198193,93.4,91.6,94.2,90"
"198194,86,61.6,75.1,90"
"198195,86.2,59.4,96,90"
"198196,91.8,77.8,94.4,90"
"198197,89.2,63,77,90"
"198198,67.6,61.5,90.8,90"
"198199,73.8,79,97.7,90"
"198200,83.8,87.3,92.8,90"
"198201,92.6,77.2,94.2,90"
"198202,78.8,79,77.8,90"
"198203,82.4,55,84,90"
"198204,89.7,72.3,85.4,90"
"198205,94.4,64.6,75.8,90"
"198206,91.6,73.8,83.2,90"
"198207,77.8,58.8,76.7,90"
"198208,92.8,71.7,75.3,90"
"198209,93,57.5,50.8,90"
"198210,81.4,61.2,83.4,90"
"198211,96.8,82.6,89.3,90"
"198212,94.6,69,83.4,90"
"198213,91.9,70.3,90.9,90"
"198214,85,61.5,82.2,90"
"198215,91.2,63,80,90"
"198216,88,73.1,81.5,90"
"198217,82.4,69.6,88.8,90"
"198218,95.6,89.6,95.7,90"
"198219,65.7,58.7,97.6,90"
"198220,88.4,59.3,84.2,90"
"198221,89.6,64.8,77.8,90"
"198222,86.4,65.6,78,90"
"198223,93.8,75.2,84.5,90"
"198224,84.4,71.3,84.5,90"
"198225,88.2,90.8,96.4,90"
"198226,90.2,60.5,81.5,90"
"198227,88.6,72.7,83.4,90"
